,field,comp_url
279,Government Administration,/company/choisirlequebec/
280,E-learning,/company/livres-gratuits-pdf/
281,Human Resources,/company/gpfrecrutement/
282,Oil & Energy,/company/steg-tunisie/
283,Staffing & Recruiting,/company/emploitoday/
284,Banking,/company/bts-bank/
285,Banking,/company/bnabank/
286,Mechanical Or Industrial Engineering,/company/ge/
287,Hospital & Health Care,/company/gehealthcare/
288,Oil & Energy,/company/gepower/
289,Industrial Automation,/company/siemens/
290,Telecommunications,/company/att/
291,Semiconductors,/company/intel-corporation/
292,Information Technology & Services,/company/ericsson/
293,Consumer Electronics,/company/motorola-mobility/
294,Financial Services,/company/jpmorganchase/
295,Hospital & Health Care,/company/philips/
296,Information Technology & Services,/company/verizonbusiness/
297,Information Technology & Services,/company/verizon/
298,Consumer Goods,/company/procter-and-gamble/
299,Banking,/company/bank-of-america/
300,Financial Services,/company/merrilllynch/
301,Pharmaceuticals,/company/pfizer/
302,Medical Device,/company/ethicon/
303,Pharmaceuticals,/company/janssen-pharmaceutical-companies-of-johnson-and-johnson/
304,Biotechnology,/company/centocor/
305,Entertainment,/company/warner-bros--entertainment/
306,Telecommunications,/company/huawei/
307,International Affairs,/company/world-health-organization/
308,Publishing,/company/forbes-magazine/
309,Banking,/company/qatar-national-bank-group/
310,International Affairs,/company/organisation-eco-cooperation-development-organisation-cooperation-developpement-eco/
311,Hospitality,/company/vincci-hoteles/
312,Transportation/Trucking/Railroad,/company/sarsaudirailway/
313,Renewables & Environment,/company/irena/
314,Textiles,/company/trigema-inh.-w.-grupp-e.k./
315,Food & Beverages,/company/d-lice-danone/
316,International Trade & Development,/company/trade-economics/
317,Mechanical Or Industrial Engineering,/company/orinox/
318,Internet,/company/google-cloud/
319,Information Technology & Services,/company/dellemc/
320,Newspapers,/company/the-new-york-times/
321,Newspapers,/company/financial-times/
322,Information Technology & Services,/company/rackspace-technology/
323,Online Media,/company/bloomberg-news/
324,Information Technology & Services,/company/zohocorp/
325,Computer Software,/company/cpanel/
326,Internet,/company/techcrunch/
327,Internet,/company/zuora/
328,Management Consulting,/company/business-net-partners/
329,Internet,/company/cloudflare/
330,Venture Capital & Private Equity,/company/center-for-innovation-&-entrepreneurship-cie-at-kit/
331,Information Technology & Services,/company/uptime-institute/
332,Information Technology & Services,/company/onapp/
333,Venture Capital & Private Equity,/company/openoceanvc/
334,Telecommunications,/company/zain-bahrain/
335,International Trade & Development,/company/german-tunisian-chamber-of-industry-and-commerce/
336,Automotive,/company/renaultgroup/
337,Automotive,/company/automobiles-peugeot/
338,Automotive,/company/volkswagen-ag/
339,"Atlanta, Georgia",/company/georgia-institute-of-technology/
340,Automotive,/company/zf-group/
341,Automotive,/company/michelin/
342,Automotive,/company/citroen/
343,Non-profit Organization Management,/company/world-economic-forum/
344,Non-profit Organization Management,/company/ypoglobal/
345,Information Technology & Services,/company/jato-dynamics/
346,Automotive,/company/dacia/
347,Automotive,/company/automotor-france/
348,Automotive,/company/sneci/
349,Information Technology & Services,/company/dicentral/
350,Information Technology & Services,/company/wevioo/
351,Newspapers,/company/jeune-afrique/
352,Management Consulting,/company/x-pm-transition-partners/
353,Medical Device,/company/biosensewebster/
354,Hospital & Health Care,/company/johnson-&-johnson/
355,Hospital & Health Care,/company/abbott-/
356,Medical Device,/company/boston-scientific/
357,Medical Device,/company/medtronic/
358,Human Resources,/company/randstad/
359,Management Consulting,/company/frost-&-sullivan/
360,Outsourcing/Offshoring,/company/teleperformance/
361,Airlines/Aviation,/company/qatar-airways/
362,Medical Device,/company/livanova/
363,Medical Device,/company/merit-medical-systems-inc/
364,Medical Device,/company/fisher-&-paykel-healthcare/
365,Medical Device,/company/biosensors-international/
366,Airlines/Aviation,/company/wizzair/
367,Food & Beverages,/company/sadafco/
368,Medical Device,/company/acist-medical-systems/
369,Management Consulting,/company/guided-solutions/
370,Investment Management,/company/the-olayan-group/
371,Medical Device,/company/cookmedical/
372,Medical Device,/company/cr-bard/
373,Automotive,/company/general-motors/
374,Automotive,/company/ford-motor-company/
375,Automotive,/company/ferrari/
376,Automotive,/company/tesla-motors/
377,Luxury Goods & Jewelry,/company/alfardan-group/
378,Retail,/company/al-tayer-group/
379,Automotive,/company/nissan-motor-corporation/
380,Automotive,/company/jaguar-land-rover_1/
381,Automotive,/company/al-zayani-automotive/
382,Automotive,/company/man-commercial-vehicles/
383,Information Technology & Services,/company/infopro-digital/
384,Automotive,/company/headline-automotive-data-&-software-technology/
385,Automotive,/company/jaguar-land-rover-africa/
386,Professional Training & Coaching,/company/tiqani/
387,Automotive,/company/jaguar-land-rover-france/
388,Information Technology & Services,/company/talan/
389,Electrical & Electronic Manufacturing,/company/actia/
390,Telecommunications,/company/sagemcom/
391,Information Technology & Services,/company/amazon-web-services/
392,Information Technology & Services,/company/talan-tunisie/
393,Computer Software,/company/neoxam/
394,Computer Software,/company/expensya/
395,Internet,/company/facebook/
396,Internet,/company/twitter/
397,"San Francisco, California",/company/holberton-school/
398,Individual & Family Services,/company/recrutement-en-tunisie/
399,Aviation & Aerospace,/company/nasa/
400,Telecommunications,/company/utstarcom/
401,Aviation & Aerospace,/company/faa/
402,Computer Software,/company/linedata/
403,Aviation & Aerospace,/company/zodiac-aerospace/
404,Internet,/company/vistaprint/
405,Publishing,/company/national-geographic-society/
406,Information Technology & Services,/company/ip-tech/
407,Information Technology & Services,/company/fittingbox/
408,Non-profit Organization Management,/company/icrc/
409,Philanthropy,/company/care-france/
410,International Trade & Development,/company/qu-bec-international/
411,Philanthropy,/company/action-contre-la-faim/
412,Philanthropy,/company/solidarites-international/
413,Human Resources,/company/hr-house-international/
414,Information Services,/company/jamaity-org/
415,Staffing & Recruiting,/company/samari-consulting/
416,Philanthropy,/company/plan-international-france/
417,Outsourcing/Offshoring,/company/convergys/
418,Insurance,/company/wafa-assurance/
419,Banking,/company/bnp-paribas-personal-finance/
420,Management Consulting,/company/asymptote/
421,Investment Banking,/company/midi-capital/
422,Information Technology & Services,/company/charge-anywhere/
423,Automotive,/company/psn-group-of-companies/
424,Telecommunications,/company/orange-tunisie/
425,Accounting,/company/firley-moran-freer-&-eassa-pc/
426,Management Consulting,/company/gpbl/
427,"Montréal, Québec",/company/institut-sup-rieur-d-informatique-isi/
428,Civil Engineering,/company/green-concretex-group-of-companies/
429,Marketing & Advertising,/company/ad's-up/
430,Information Technology & Services,/company/ametix/
431,Financial Services,/company/capstone-partners-financial-and-insurance-services/
432,Banking,/company/banque-zitouna/
433,Insurance,/company/alliance-assurances/
434,Insurance,/company/assurances-professionnelles-swiss-life/
435,Automotive,/company/renault-tunisie/
436,Insurance,/company/assurancesbiat/
437,Insurance,/company/astr%C3%A9e-assurance/
438,Financial Services,/company/lunu-solutions/
439,Automotive,/company/mercedes-benz-maybach-fans/
440,Accounting,/company/mazarstunisie/
441,Real Estate,/company/tecnocasa/
442,Hospitality,/company/intercontinental-geneva/
443,Real Estate,/company/immo2/
444,Real Estate,/company/tecnocasa-tunisie/
445,Internet,/company/tayara-tn/
446,Real Estate,/company/st%C3%A9phane-plaza-immobilier/
447,Architecture & Planning,/company/zaa-architects/
448,Real Estate,/company/tecnocasa-hammamet/
449,International Affairs,/company/mattmediterraneanrevolution/
450,Information Services,/company/business-france-tunisie/
451,Logistics & Supply Chain,/company/timar/
452,Insurance,/company/adviseassurance/
453,Financial Services,/company/zitouna-tamkeen/
454,Insurance,/company/assurances-zitouna-takaful/
455,"Mrezgua , Nabeul",/company/institutsup%C3%A9rieurdes%C3%A9tudestechnologiquedenabeul/
456,Management Consulting,/company/excellentia-international-institute/
457,Banking,/company/banque-de-tunisie-et-des-%C3%A9mirats/
458,Banking,/company/wifak-bank/
459,Accounting,/company/kpmg-advisory/
460,Oil & Energy,/company/bp/
461,Oil & Energy,/company/schlumberger/
462,Military,/company/royalnavy/
463,Oil & Energy,/company/exxonmobil/
464,Oil & Energy,/company/total/
465,International Affairs,/company/united-nations/
466,Oil & Energy,/company/chevron/
467,Oil & Energy,/company/halliburton/
468,Financial Services,/company/bloomberg-lp/
469,Oil & Energy,/company/statoil/
470,Oil & Energy,/company/bakerhughes/
471,Oil & Energy,/company/dong-energy/
472,Oil & Energy,/company/aramco/
473,London,/company/imperial-college-london/
474,Financial Services,/company/rothschildandco/
475,Utilities,/company/scottish-power/
476,Pharmaceuticals,/company/glaxosmithkline/
477,Consumer Goods,/company/mars/
478,Pharmaceuticals,/company/astrazeneca/
479,Food & Beverages,/company/the-coca-cola-company/
480,Staffing & Recruiting,/company/manpowergroup/
481,Pharmaceuticals,/company/bayer-pharmaceuticals/
482,Tobacco,/company/insidepmi/
483,Automotive,/company/volvo-group/
484,Pharmaceuticals,/company/novo-nordisk/
485,Food Production,/company/danone/
486,Broadcast Media,/company/cnbc/
487,Restaurants,/company/mcdonald's-corporation/
488,Oil & Energy,/company/omv/
489,"Paris, île-de-france",/company/lettres-sorbonne-universite/
490,Oil & Energy,/company/etap_2/
491,Mining & Metals,/company/cpg_3/
492,Oil & Energy,/company/serept/
493,Import & Export,/company/i3c-tunisie/
494,Chemicals,/company/groupe-chimique-tunisien/
495,Oil & Energy,/company/soci%C3%A9t%C3%A9-tunisienne-des-industries-de-raffinage---stir/
496,Marketing & Advertising,/company/discovery-digital/
497,Newspapers,/company/le-figaro/
498,Banking,/company/bankabc/
499,Internet,/company/mdsoft/
500,Management Consulting,/company/regulation-partners/
501,Research,/company/sigma-conseil/
502,Financial Services,/company/pwc-france/
503,Financial Services,/company/icd_ps/
504,Financial Services,/company/tunisian-american-enterprise-fund/
505,Transportation/Trucking/Railroad,/company/vectorys/
506,"La Bardo, Tunis",/company/institutsup%C3%A9rieurdegestiondetunis/
507,Real Estate,/company/agence-immobili%C3%A8re-jouini/
508,Banking,/company/bank-al-yousr-recrutement/
509,Individual & Family Services,/company/ctfci/
510,Banking,/company/bmci-groupe-bnp-paribas/
511,Information Technology & Services,/company/keyrus/
512,Computer Software,/company/backbase/
513,Information Technology & Services,/company/equinoxes/
514,Information Technology & Services,/company/business-&-decision/
515,Nanterre,/company/esbanque/
516,Management Consulting,/company/ceed-tunisia/
517,Non-profit Organization Management,/company/qatar-development-fund/
518,Information Technology & Services,/company/sintegra-consulting/
519,Information Technology & Services,/company/technopolesfax/
520,"Manouba, Greater Tunis Area",/company/ensitn/
521,Financial Services,/company/finastra/
522,Management Consulting,/company/pmi-tunisia-chapter/
523,"Monfleury, Tunis",/company/ipeit/
524,Information Technology & Services,/company/cloudshift-tunisie/
525,Banking,/company/bmice/
526,Venture Capital & Private Equity,/company/betacube/
527,Events Services,/company/tdsconference/
528,Professional Training & Coaching,/company/boost-your-inspiration-byi/
529,Internet,/company/ykone/
530,Marketing & Advertising,/company/access-content-agency/
531,Marketing & Advertising,/company/panorama-an-affiliate-of-y&r/
532,Government Administration,/company/association-tunisienne-des-professionnels-du-marketing/
533,Marketing & Advertising,/company/havas-ww-tunisia/
534,Marketing & Advertising,/company/tbwa-pointcarre/
535,Pharmaceuticals,/company/kilani-groupe/
536,Information Technology & Services,/company/freelance-tunisie/
537,Marketing & Advertising,/company/3sg-bbdo/
538,Higher Education,/company/iheccarthage/
539,Marketing & Advertising,/company/omd-tunisia/
540,E-learning,/company/linkedinlearning/
541,Marketing & Advertising,/company/3sixty-ads/
542,Internet,/company/knsd/
543,Cosmetics,/company/argania-distribution/
544,Accounting,/company/2as-accounting-auditing-services/
545,Marketing & Advertising,/company/digitaloctopustn/
546,Cosmetics,/company/business-france-%E2%80%93-cosm%C3%A9tique/
547,Marketing & Advertising,/company/doze-agency/
548,Marketing & Advertising,/company/letstalkmarketing/
549,Retail,/company/starbucks/
550,"New Haven, CT",/company/yale-school-of-management/
551,Printing,/company/sawgrassink/
552,Broadcast Media,/company/cnbc-africa/
553,Paper & Forest Products,/company/doubleapaper/
554,Publishing,/company/ventures-africa/
555,Online Media,/company/africa-confidential/
556,Information Services,/company/skift/
557,Online Media,/company/re-code-news/
558,Food & Beverages,/company/vietnam-hanfimex-corporation/
559,Printing,/company/great-virtue-imp&exp-limited/
560,Food Production,/company/wolons.com/
561,Paper & Forest Products,/company/lb-paper-factory-ltd/
562,Food Production,/company/hanfimex-group/
563,Education Management,/company/ihec-sousse/
564,Professional Training & Coaching,/company/teletrade-trading-academy/
565,Renewables & Environment,/company/hydro-quebec/
566,Higher Education,/company/doha-institute-for-graduate-studies-%D9%85%D8%B9%D9%87%D8%AF-%D8%A7%D9%84%D8%AF%D9%88%D8%AD%D8%A9-%D9%84%D9%84%D8%AF%D8%B1%D8%A7%D8%B3%D8%A7%D8%AA-%D8%A7%D9%84%D8%B9%D9%84%D9%8A%D8%A7/
567,Business Supplies & Equipment,/company/mashrook-%D9%85%D8%B4%D8%B1%D9%88%D8%B9%D9%83/
568,Investment Management,/company/economy-mashroo3k-%D9%85%D8%AC%D9%84%D8%A9-%D9%85%D8%B4%D8%B1%D9%88%D8%B9%D9%83-%D8%A7%D9%84%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%D9%8A%D8%A9/
569,Staffing & Recruiting,/company/viralinsta/
570,Management Consulting,/company/ektesad/
571,"Aola, Gizeh",/company/feps-cu/
572,Higher Education,/company/economic-clubimamu/
573,Higher Education,/company/%D9%8Feconomic-clubimamu/
574,Education Management,/company/elmin7a/
575,Research,/company/myimmigra-immigration-and-work-in-europe/
576,Libraries,/company/plan-d-emploi/
577,Financial Services,/company/jpmorgan/
578,Computer Software,/company/sap/
579,Financial Services,/company/ubs/
580,Entertainment,/company/sony-pictures-entertainment/
581,Information Technology & Services,/company/atos/
582,Information Technology & Services,/company/t&t-consulting/
583,Telecommunications,/company/seawave/
584,Staffing & Recruiting,/company/tos-transport-and-offshore-services/
585,Information Technology & Services,/company/neo-soft-groupe/
586,Biotechnology,/company/agilent-technologies/
587,Insurance,/company/axa/
588,Insurance,/company/zurich-insurance-company-ltd/
589,Insurance,/company/swiss-re/
590,"Oxford, Oxfordshire",/company/oxforduni/
591,Professional Training & Coaching,/company/pminstitute/
592,Translation & Localization,/company/transperfect/
593,Staffing & Recruiting,/company/talent-international/
594,International Trade & Development,/company/montreal-international/
595,Hospitality,/company/barcelo-hotel-group/
596,Insurance,/company/la-capitale/
597,Semiconductors,/company/lumileds/
598,Management Consulting,/company/bearingpoint/
599,Information Technology & Services,/company/nielsen/
600,International Affairs,/company/undp/
601,Marketing & Advertising,/company/havas/
602,Telecommunications,/company/proximus/
603,Marketing & Advertising,/company/leo-burnett/
604,Building Materials,/company/saint-gobain/
605,Music,/company/sony-music-entertainment/
606,Information Technology & Services,/company/soprasteria/
607,Computer & Network Security,/company/check-point-software-technologies/
608,Market Research,/company/insightsbykantar/
609,Consumer Goods,/company/electrolux/
610,Computer Software,/company/github/
611,Automotive,/company/www-automobile-tn/
612,Events Services,/company/makemusic.tn/
613,Media Production,/company/wasabitn/
614,Non-profit Organization Management,/company/afkarincubator/
615,Museums & Institutions,/company/digital-cultural-experience/
616,Cosmetics,/company/maison-de-senteurs/
617,Information Technology & Services,/company/inkylab/
618,"Health, Wellness & Fitness",/company/soul-and-planet/
619,Online Media,/company/inkyfada/
620,Marketing & Advertising,/company/linkedin-marketing-solutions/
621,Consumer Goods,/company/duracell/
622,Food & Beverages,/company/pepsico/
623,Computer Software,/company/adobe/
624,Food Production,/company/mondelezinternational/
